id_log,tipo_acao,id_pagamento,tipo_pagamento_id_tipo_pagamento,valor_pago,data_pagamento,DataHoraOperacao,ExecutedBy
18,INSERT,16,4,82.27,2023-01-10 11:00:53.870238,2023-01-10 11:04:16.870238,juancarvalho
19,INSERT,17,3,613.15,2024-03-17 08:15:37.595237,2024-03-17 08:19:36.595237,joao-feliperios
20,INSERT,18,2,603.48,2024-05-14 18:15:49.304774,2024-05-14 18:16:04.304774,julianamarques
21,INSERT,19,4,741.44,2024-02-09 11:15:15.367816,2024-02-09 11:16:50.367816,ana-vitoria29
22,INSERT,20,3,640.46,2022-09-20 18:30:00.649596,2022-09-20 18:30:07.649596,nunesmaria-alice
23,INSERT,21,5,373.13,2024-10-18 09:45:19.053365,2024-10-18 09:48:49.053365,vargasjoao-miguel
24,INSERT,22,1,713.38,2024-01-06 12:00:12.206831,2024-01-06 12:03:30.206831,kamillymontenegro
25,INSERT,23,3,479.41,2023-06-18 08:15:04.846426,2023-06-18 08:19:58.846426,vgoncalves
26,INSERT,24,5,766.55,2025-04-29 08:45:11.745539,2025-04-29 08:49:39.745539,marquescarolina
27,UPDATE,24,5,816.59,2025-04-29 08:45:11.745539,2025-05-02 08:50:06.745539,antonellacasa-grande
28,INSERT,25,5,665.63,2022-09-25 11:45:52.882561,2022-09-25 11:49:09.882561,ayla43
29,INSERT,26,1,573.84,2023-02-05 16:45:29.941460,2023-02-05 16:48:47.941460,hbrito
30,INSERT,27,3,684.92,2024-11-22 10:00:00.216187,2024-11-22 10:00:36.216187,andre84
31,UPDATE,27,3,682.7,2024-11-22 10:00:00.216187,2024-11-25 10:00:03.216187,vnogueira
32,INSERT,28,3,483.05,2024-07-14 11:45:20.364559,2024-07-14 11:49:24.364559,yvieira
33,INSERT,29,5,718.52,2024-06-26 14:45:22.907192,2024-06-26 14:47:46.907192,rbarros
34,INSERT,30,5,771.68,2024-08-20 11:15:45.092892,2024-08-20 11:20:45.092892,otavio39
35,UPDATE,30,5,788.8,2024-08-20 11:15:45.092892,2024-08-21 11:16:58.092892,pietro64
36,INSERT,31,4,414.09,2025-01-26 08:15:10.216846,2025-01-26 08:19:09.216846,liz57
37,INSERT,32,1,775.14,2024-01-06 13:00:59.219604,2024-01-06 13:05:01.219604,juan25
38,INSERT,33,3,794.32,2023-02-19 13:15:55.600758,2023-02-19 13:19:58.600758,luna61
39,INSERT,34,1,781.15,2025-04-05 12:30:19.698944,2025-04-05 12:32:48.698944,montenegronicole
40,INSERT,35,1,723.31,2023-09-11 18:45:13.269288,2023-09-11 18:46:24.269288,vmontenegro
41,INSERT,36,4,445.96,2022-06-24 08:45:54.844044,2022-06-24 08:49:42.844044,correiaisaque
42,INSERT,37,3,763.61,2025-03-08 11:30:44.004249,2025-03-08 11:34:53.004249,yasmin54
43,INSERT,38,4,595.01,2025-02-22 08:00:59.107342,2025-02-22 08:02:13.107342,augustopinto
44,INSERT,39,2,257.05,2024-08-04 12:30:23.268770,2024-08-04 12:31:17.268770,luiz-miguel69
45,INSERT,40,2,278.39,2023-07-31 11:15:31.163191,2023-07-31 11:15:34.163191,juandas-neves
46,INSERT,41,5,525.63,2025-01-14 12:15:51.969659,2025-01-14 12:20:47.969659,rebeca33
47,INSERT,42,2,128.54,2025-02-18 18:15:14.406229,2025-02-18 18:18:18.406229,rsilveira
48,INSERT,43,1,160.13,2023-06-23 11:15:32.422156,2023-06-23 11:17:09.422156,caldeiraluiz-miguel
49,INSERT,44,4,749.89,2023-04-20 15:00:35.800500,2023-04-20 15:00:53.800500,hellenanovais
50,INSERT,45,3,453.13,2024-07-16 10:15:24.650019,2024-07-16 10:18:27.650019,luigi06
51,UPDATE,45,3,434.63,2024-07-16 10:15:24.650019,2024-07-20 10:18:30.650019,vianagael-henrique
52,INSERT,46,2,93.43,2023-11-07 16:15:39.630476,2023-11-07 16:17:44.630476,laviniacaldeira
53,INSERT,47,5,485.86,2023-02-21 10:15:41.751023,2023-02-21 10:18:40.751023,castrocecilia
54,UPDATE,47,5,460.53,2023-02-21 10:15:41.751023,2023-02-23 10:16:26.751023,ana-vitoriacampos
55,INSERT,48,4,278.7,2022-08-08 12:30:44.252940,2022-08-08 12:33:14.252940,sofiagoncalves
56,INSERT,49,5,651.27,2025-02-17 09:30:07.739328,2025-02-17 09:31:49.739328,hda-luz
57,INSERT,50,5,154.65,2023-05-27 09:15:45.199247,2023-05-27 09:18:35.199247,luana00
58,INSERT,51,5,87.47,2023-11-09 11:45:11.407173,2023-11-09 11:45:44.407173,alexia80
59,INSERT,52,5,442.99,2025-04-27 12:15:43.892336,2025-04-27 12:18:51.892336,sophia38
60,INSERT,53,2,134.59,2023-04-11 11:00:33.802593,2023-04-11 11:02:27.802593,ida-mota
61,INSERT,54,4,572.81,2025-02-02 12:45:06.755760,2025-02-02 12:46:41.755760,maria84
62,INSERT,55,4,91.67,2025-05-25 17:45:14.273347,2025-05-25 17:46:57.273347,leaothomas
63,INSERT,56,2,526.74,2025-05-06 08:15:05.617762,2025-05-06 08:18:32.617762,guerraliam
64,UPDATE,56,2,425.8,2025-05-06 08:15:05.617762,2025-05-09 08:15:14.617762,maria-julia36
65,INSERT,57,1,708.47,2023-07-15 15:45:12.662393,2023-07-15 15:49:01.662393,cauerodrigues
66,INSERT,58,5,779.55,2024-01-08 08:00:38.963938,2024-01-08 08:03:15.963938,helenanovais
67,INSERT,59,2,200.58,2025-02-23 13:45:59.623863,2025-02-23 13:46:11.623863,da-pazbarbara
68,UPDATE,59,2,217.57,2025-02-23 13:45:59.623863,2025-02-26 13:47:09.623863,nicole07
69,INSERT,60,1,294.93,2024-03-14 17:30:51.809009,2024-03-14 17:35:37.809009,viniciuspastor
70,INSERT,61,3,212.71,2023-09-29 13:30:40.625676,2023-09-29 13:32:23.625676,da-pazcaue
71,INSERT,62,2,273.26,2024-11-13 17:15:05.478744,2024-11-13 17:19:24.478744,eloahvieira
72,INSERT,63,3,133.3,2022-10-03 08:45:32.642118,2022-10-03 08:48:17.642118,pastorhellena
73,INSERT,64,3,744.71,2022-11-06 09:15:58.000350,2022-11-06 09:19:19.000350,pastoraugusto
74,INSERT,65,2,165.64,2023-08-22 10:15:39.730208,2023-08-22 10:18:10.730208,ualbuquerque
75,INSERT,66,3,398.55,2022-09-14 10:30:15.421886,2022-09-14 10:31:39.421886,joaquim34
76,INSERT,67,4,765.19,2023-09-16 11:00:59.700519,2023-09-16 11:03:46.700519,viniciusgoncalves
77,INSERT,68,3,591.33,2022-12-08 16:00:37.068249,2022-12-08 16:02:21.068249,da-matayago
78,INSERT,69,3,90.66,2025-01-02 08:15:00.460524,2025-01-02 08:17:58.460524,alvesjoao-felipe
79,INSERT,70,3,378.62,2023-02-19 12:15:17.054034,2023-02-19 12:19:43.054034,guilhermepastor
80,INSERT,71,4,772.37,2024-01-22 10:15:30.603222,2024-01-22 10:19:45.603222,sarah44
81,INSERT,72,5,50.97,2024-01-08 18:15:54.197517,2024-01-08 18:17:36.197517,pda-costa
82,INSERT,73,3,206.66,2022-11-11 14:15:21.932925,2022-11-11 14:19:10.932925,martinsgiovanna
83,INSERT,74,2,619.51,2022-10-16 15:15:43.453927,2022-10-16 15:16:39.453927,garciamaria-vitoria
84,INSERT,75,2,716.38,2023-04-30 14:45:20.667951,2023-04-30 14:50:14.667951,nathan45
85,INSERT,76,3,423.91,2025-01-08 08:00:37.153226,2025-01-08 08:04:48.153226,da-costajoao-guilherme
86,INSERT,77,1,169.5,2025-04-01 14:30:23.173600,2025-04-01 14:33:00.173600,vasconcelosjoao-miguel
87,INSERT,78,5,254.51,2024-03-12 16:45:50.990568,2024-03-12 16:48:17.990568,giovannaduarte
88,INSERT,79,1,505.41,2024-04-04 18:00:08.178751,2024-04-04 18:01:17.178751,rafael48
89,INSERT,80,4,218.03,2024-03-27 08:45:45.517081,2024-03-27 08:46:26.517081,maria-juliamendes
90,INSERT,81,2,605.76,2025-01-23 15:00:48.260859,2025-01-23 15:05:11.260859,nogueiravalentina
91,INSERT,82,5,358.06,2022-12-16 16:00:35.203274,2022-12-16 16:01:24.203274,nunesdiogo
92,INSERT,83,1,270.45,2024-10-18 10:45:50.435344,2024-10-18 10:49:51.435344,lrocha
93,INSERT,84,3,667.45,2024-04-28 16:00:11.726220,2024-04-28 16:04:25.726220,gsales
94,INSERT,85,2,471.7,2024-03-02 09:45:26.381137,2024-03-02 09:46:02.381137,enzo-gabriel58
95,INSERT,86,2,168.36,2022-09-17 09:00:21.035470,2022-09-17 09:01:59.035470,ana-ceciliabarbosa
96,INSERT,87,4,423.43,2024-06-22 09:30:11.369355,2024-06-22 09:32:37.369355,isis02
97,UPDATE,87,4,434.03,2024-06-22 09:30:11.369355,2024-06-24 09:31:30.369355,pedro-lucas06
98,INSERT,88,1,224.41,2025-01-28 17:15:47.164259,2025-01-28 17:20:15.164259,galmeida
99,INSERT,89,3,610.77,2022-12-24 18:30:08.063082,2022-12-24 18:31:46.063082,lavinia45
100,INSERT,90,1,169.76,2024-12-08 11:30:30.440976,2024-12-08 11:32:34.440976,camargogiovanna
101,INSERT,91,4,113.58,2025-02-02 10:30:17.657569,2025-02-02 10:33:53.657569,pedro-henriquecamargo
102,INSERT,92,1,399.71,2025-04-23 18:30:05.672553,2025-04-23 18:30:14.672553,agathada-costa
103,INSERT,93,2,682.39,2025-05-20 16:30:29.260806,2025-05-20 16:33:35.260806,diasthiago
104,INSERT,94,3,135.49,2024-10-29 14:00:15.868302,2024-10-29 14:01:31.868302,aviana
105,INSERT,95,4,330.86,2022-12-30 09:45:15.066838,2022-12-30 09:45:58.066838,pintoeduardo
106,INSERT,96,2,731.88,2024-06-23 17:30:21.890549,2024-06-23 17:33:32.890549,meloelisa
107,INSERT,97,5,147.37,2025-03-04 10:00:56.303600,2025-03-04 10:04:09.303600,yago23
108,INSERT,98,2,723.46,2023-07-17 10:15:21.711624,2023-07-17 10:18:22.711624,portojuan
109,INSERT,99,5,450.05,2024-11-28 09:00:32.336891,2024-11-28 09:03:59.336891,joao-felipesales
110,UPDATE,99,5,419.89,2024-11-28 09:00:32.336891,2024-11-30 09:02:58.336891,vcavalcanti
111,INSERT,100,5,665.69,2024-05-09 12:30:38.934238,2024-05-09 12:32:20.934238,ayllamoraes
112,INSERT,101,4,172.61,2024-07-07 14:30:44.489956,2024-07-07 14:35:07.489956,pedro-lucas97
113,UPDATE,101,4,143.72,2024-07-07 14:30:44.489956,2024-07-08 14:31:53.489956,gomesluisa
114,INSERT,102,3,291.29,2024-08-16 08:45:29.671353,2024-08-16 08:47:03.671353,caioda-mata
115,INSERT,103,2,108.77,2022-07-17 11:45:36.571079,2022-07-17 11:47:51.571079,cavalcantivalentim
116,INSERT,104,3,599.42,2023-01-17 09:15:13.537622,2023-01-17 09:15:44.537622,aliceferreira
117,INSERT,105,4,435.71,2025-04-14 09:00:40.175745,2025-04-14 09:02:10.175745,gael-henrique21
118,INSERT,106,4,297.87,2022-06-14 14:00:59.156513,2022-06-14 14:03:08.156513,luan81
119,UPDATE,106,4,268.9,2022-06-14 14:00:59.156513,2022-06-18 14:03:09.156513,lorenaoliveira
120,INSERT,107,5,56.59,2024-02-06 16:30:37.971260,2024-02-06 16:32:11.971260,sophiebrito
121,INSERT,108,4,148.71,2024-12-27 10:45:33.120903,2024-12-27 10:45:53.120903,brayancamargo
122,INSERT,109,3,407.6,2025-05-26 15:00:35.071245,2025-05-26 15:01:38.071245,teixeirathales
123,INSERT,110,1,729.43,2024-09-30 17:30:21.483440,2024-09-30 17:30:44.483440,davi-luiz68
124,INSERT,111,1,711.99,2024-06-14 15:45:01.293374,2024-06-14 15:49:01.293374,igormoura
125,INSERT,112,1,427.41,2024-05-25 10:00:52.104967,2024-05-25 10:03:05.104967,ribeirobenjamin
126,INSERT,113,4,78.72,2025-02-08 16:45:14.425485,2025-02-08 16:47:41.425485,mateus69
127,INSERT,114,4,228.59,2023-10-12 15:00:10.285113,2023-10-12 15:01:10.285113,galbuquerque
128,INSERT,115,4,341.46,2025-03-11 13:15:47.142164,2025-03-11 13:17:13.142164,cramos
129,INSERT,116,2,623.93,2022-10-12 18:30:25.086195,2022-10-12 18:33:40.086195,alvesemanuelly
130,INSERT,117,2,141.8,2023-08-28 10:45:14.759159,2023-08-28 10:48:43.759159,gabrielcamargo
131,INSERT,118,2,194.18,2022-06-27 14:30:20.592082,2022-06-27 14:33:57.592082,umachado
132,INSERT,119,1,489.91,2022-12-08 13:30:35.903246,2022-12-08 13:32:42.903246,nabreu
133,INSERT,120,1,681.26,2023-04-19 10:00:43.277703,2023-04-19 10:01:41.277703,gabriela57
134,INSERT,121,2,232.02,2025-05-19 10:45:04.548339,2025-05-19 10:46:13.548339,davi-lucas73
135,INSERT,122,3,613.93,2023-02-05 16:15:25.455650,2023-02-05 16:19:19.455650,joaocamargo
136,INSERT,123,4,308.46,2024-12-06 13:15:34.419519,2024-12-06 13:17:03.419519,benicio51
137,INSERT,124,5,220.88,2024-02-11 13:30:19.565820,2024-02-11 13:32:36.565820,ramosmariane
138,INSERT,125,4,756.45,2025-06-03 13:30:44.547404,2025-06-03 13:34:03.547404,benicionogueira
139,INSERT,126,3,185.31,2023-06-09 10:00:57.095718,2023-06-09 10:05:11.095718,nascimentomatteo
140,INSERT,127,5,114.35,2024-08-21 09:45:36.597243,2024-08-21 09:46:51.597243,theosampaio
141,INSERT,128,4,585.22,2024-07-27 12:00:33.603278,2024-07-27 12:04:34.603278,duartepietra
142,INSERT,129,1,488.19,2023-06-25 15:00:04.206547,2023-06-25 15:00:39.206547,almeidaayla
143,INSERT,130,1,721.18,2025-03-12 16:45:45.317075,2025-03-12 16:50:25.317075,jose-miguelrezende
144,INSERT,131,4,87.11,2023-03-15 18:00:55.382422,2023-03-15 18:05:00.382422,felipe03
145,INSERT,132,5,155.4,2025-04-10 17:45:10.444551,2025-04-10 17:46:53.444551,ida-luz
146,INSERT,133,2,478.69,2022-10-21 18:45:47.797656,2022-10-21 18:50:36.797656,rcorreia
147,UPDATE,133,2,404.62,2022-10-21 18:45:47.797656,2022-10-23 18:49:11.797656,souzamaria-helena
148,INSERT,134,1,75.49,2024-12-19 12:15:34.502989,2024-12-19 12:16:18.502989,ucassiano
149,INSERT,135,2,622.44,2023-01-17 16:30:01.203532,2023-01-17 16:34:22.203532,juandias
150,INSERT,136,4,749.99,2024-09-06 18:00:46.450883,2024-09-06 18:02:34.450883,wnovaes
151,INSERT,137,5,106.58,2023-03-12 18:15:51.233531,2023-03-12 18:18:25.233531,zda-cruz
152,INSERT,138,2,372.24,2024-10-09 12:45:39.039044,2024-10-09 12:49:28.039044,luiz-miguel13
153,INSERT,139,4,652.32,2024-03-29 13:15:16.108598,2024-03-29 13:19:44.108598,mariane50
154,INSERT,140,4,688.29,2025-01-17 11:30:50.120755,2025-01-17 11:31:38.120755,caue97
155,INSERT,141,5,735.14,2024-04-03 17:00:49.958521,2024-04-03 17:05:21.958521,lferreira
156,INSERT,142,5,472.14,2023-02-24 18:45:48.525062,2023-02-24 18:49:26.525062,luiz-otavioda-mota
157,INSERT,143,2,539.9,2025-05-02 13:30:40.487048,2025-05-02 13:30:55.487048,raquel15
158,INSERT,144,3,307.36,2023-04-11 11:45:29.838003,2023-04-11 11:47:12.838003,ian97
159,INSERT,145,1,478.5,2022-09-30 10:30:18.082365,2022-09-30 10:31:18.082365,lavinia52
160,INSERT,146,5,358.65,2024-08-06 15:30:45.598828,2024-08-06 15:32:19.598828,evelyn84
161,INSERT,147,5,191.84,2022-11-09 08:15:06.529231,2022-11-09 08:18:47.529231,blopes
162,INSERT,148,1,124.15,2023-12-05 13:30:02.862755,2023-12-05 13:32:41.862755,costeladom
163,INSERT,149,1,594.19,2023-03-14 08:15:25.894860,2023-03-14 08:18:12.894860,apastor
164,INSERT,150,2,761.24,2022-12-23 08:00:56.089889,2022-12-23 08:02:42.089889,emoura
165,INSERT,151,3,225.05,2024-01-22 09:30:36.175298,2024-01-22 09:32:03.175298,asafe18
166,INSERT,152,1,710.5,2023-02-10 12:45:34.828084,2023-02-10 12:46:24.828084,nnovaes
167,INSERT,153,3,183.39,2023-10-21 08:45:00.906430,2023-10-21 08:48:50.906430,gnogueira
168,UPDATE,153,3,165.02,2023-10-21 08:45:00.906430,2023-10-23 08:48:48.906430,albuquerquemaria-sophia
169,INSERT,154,5,120.17,2025-02-13 16:15:30.987050,2025-02-13 16:18:28.987050,hadassamelo
170,INSERT,155,1,266.05,2025-03-11 10:45:26.191973,2025-03-11 10:47:06.191973,maya10
171,INSERT,156,2,377.99,2022-08-19 11:45:44.114254,2022-08-19 11:46:01.114254,spastor
172,INSERT,157,4,552.71,2022-10-01 18:15:22.287395,2022-10-01 18:17:41.287395,da-matacaue
173,INSERT,158,1,743.23,2024-10-18 09:15:43.082123,2024-10-18 09:18:06.082123,marcela12
174,UPDATE,158,1,638.93,2024-10-18 09:15:43.082123,2024-10-22 09:17:37.082123,leandro24
175,INSERT,159,2,193.67,2023-03-10 08:00:29.349959,2023-03-10 08:00:42.349959,heitorda-mata
176,INSERT,160,5,89.7,2024-04-30 16:15:07.312456,2024-04-30 16:18:40.312456,pereiracarolina
177,INSERT,161,5,167.8,2024-09-08 14:00:24.609730,2024-09-08 14:04:17.609730,leaotheodoro
178,INSERT,162,2,157.68,2023-06-10 10:45:39.148342,2023-06-10 10:48:12.148342,matheusmendes
179,INSERT,163,1,578.92,2024-08-20 10:15:40.323168,2024-08-20 10:16:25.323168,leticia35
180,INSERT,164,5,486.41,2024-01-01 18:30:48.384246,2024-01-01 18:32:05.384246,liam38
181,INSERT,165,4,626.96,2024-08-05 11:00:55.400917,2024-08-05 11:05:23.400917,joao-pedro70
182,INSERT,166,3,591.09,2024-12-01 17:00:13.398448,2024-12-01 17:02:30.398448,maria-clarasilva
183,UPDATE,166,3,561.84,2024-12-01 17:00:13.398448,2024-12-03 17:00:31.398448,laracardoso
184,INSERT,167,4,102.86,2023-09-12 16:00:53.363103,2023-09-12 16:05:38.363103,maria-vitoria16
185,INSERT,168,5,400.32,2023-09-15 09:30:14.671603,2023-09-15 09:33:52.671603,bborges
186,INSERT,169,3,764.75,2023-08-04 16:15:20.017860,2023-08-04 16:20:05.017860,albuquerquedanilo
187,INSERT,170,2,270.67,2024-12-13 08:45:51.055476,2024-12-13 08:46:19.055476,brayansales
188,UPDATE,170,2,265.29,2024-12-13 08:45:51.055476,2024-12-17 08:48:04.055476,heloisa87
189,INSERT,171,2,581.29,2023-07-17 11:15:08.169235,2023-07-17 11:17:38.169235,silvarafaela
190,INSERT,172,3,403.98,2023-11-21 08:15:47.677813,2023-11-21 08:17:07.677813,lucascasa-grande
191,UPDATE,172,3,448.72,2023-11-21 08:15:47.677813,2023-11-23 08:16:06.677813,pachecocarolina
192,INSERT,173,2,406.98,2023-09-09 13:00:43.980247,2023-09-09 13:02:34.980247,rebeca71
193,INSERT,174,5,283.21,2022-09-08 13:00:27.637096,2022-09-08 13:04:23.637096,brunanunes
194,INSERT,175,2,105.07,2023-02-15 14:00:55.859441,2023-02-15 14:02:16.859441,rda-conceicao
195,INSERT,176,1,146.96,2025-04-14 11:30:35.337219,2025-04-14 11:31:53.337219,lucasoliveira
196,INSERT,177,3,225.25,2024-12-22 17:15:00.285198,2024-12-22 17:18:28.285198,maria-ceciliaalves
197,INSERT,178,3,425.18,2024-11-12 09:15:45.067634,2024-11-12 09:19:14.067634,lda-costa
198,INSERT,179,5,524.23,2022-11-19 09:30:43.989321,2022-11-19 09:31:46.989321,joao-gabriel25
199,INSERT,180,1,201.68,2024-12-20 11:45:15.382735,2024-12-20 11:49:52.382735,lrocha
200,INSERT,181,5,115.8,2023-12-31 15:00:48.317463,2023-12-31 15:03:18.317463,sgoncalves
201,INSERT,182,4,729.15,2023-08-05 10:00:59.381512,2023-08-05 10:03:44.381512,ravi-lucca61
202,INSERT,183,1,670.23,2024-07-26 09:30:15.076676,2024-07-26 09:33:36.076676,heitor24
203,INSERT,184,5,615.85,2024-01-08 15:30:17.978937,2024-01-08 15:32:56.978937,kda-mota
204,UPDATE,184,5,692.24,2024-01-08 15:30:17.978937,2024-01-13 15:35:05.978937,sabrina99
205,INSERT,185,5,479.47,2025-02-08 09:00:12.121651,2025-02-08 09:00:24.121651,maria-luiza99
206,INSERT,186,4,274.79,2023-07-02 17:00:17.160626,2023-07-02 17:04:54.160626,arthur-miguelpeixoto
207,INSERT,187,2,67.14,2025-02-12 14:45:47.485028,2025-02-12 14:46:49.485028,juliacassiano
208,INSERT,188,3,306.3,2022-11-18 11:30:36.797239,2022-11-18 11:35:19.797239,catarina53
209,INSERT,189,5,701.54,2022-08-31 13:15:13.339292,2022-08-31 13:19:49.339292,nmoura
210,INSERT,190,4,201.52,2025-02-27 16:30:59.075427,2025-02-27 16:33:38.075427,gabriel44
211,INSERT,191,5,239.21,2025-01-19 16:15:40.978005,2025-01-19 16:19:41.978005,brendasiqueira
212,UPDATE,191,5,196.9,2025-01-19 16:15:40.978005,2025-01-20 16:18:25.978005,oliveiraerick
213,INSERT,192,1,553.99,2022-12-28 08:00:38.191720,2022-12-28 08:01:28.191720,vasconcelosana-vitoria
214,INSERT,193,4,203.38,2022-11-18 18:00:33.700697,2022-11-18 18:04:37.700697,leonardofreitas
215,INSERT,194,5,466.38,2024-08-10 13:45:32.703482,2024-08-10 13:50:09.703482,acirino
216,INSERT,195,5,446.86,2025-01-14 10:30:38.012491,2025-01-14 10:32:05.012491,saolivia
217,INSERT,196,5,58.39,2023-12-11 15:15:32.035954,2023-12-11 15:20:19.035954,murilo94
218,INSERT,197,5,510.88,2023-01-19 13:00:58.052428,2023-01-19 13:05:32.052428,theoabreu
219,INSERT,198,3,327.53,2024-12-12 12:30:14.404931,2024-12-12 12:33:03.404931,ana-livia79
220,INSERT,199,3,181.29,2024-10-26 13:15:25.922154,2024-10-26 13:17:54.922154,barrosrafael
221,INSERT,200,2,69.84,2025-03-21 10:00:05.826150,2025-03-21 10:03:47.826150,barbaraviana
222,INSERT,201,1,125.48,2025-01-11 16:00:44.091956,2025-01-11 16:04:05.091956,correiaravy
223,INSERT,202,3,601.1,2023-09-15 17:45:09.407011,2023-09-15 17:45:12.407011,ana-luizada-costa
224,INSERT,203,1,680.07,2025-04-08 14:45:11.718508,2025-04-08 14:49:10.718508,enovaes
225,INSERT,204,1,173.47,2022-10-09 16:15:52.977172,2022-10-09 16:17:37.977172,breno20
226,INSERT,205,3,92.95,2022-11-24 18:45:54.571391,2022-11-24 18:46:05.571391,ida-mota
227,INSERT,206,3,672.85,2023-02-28 09:30:21.817727,2023-02-28 09:30:32.817727,jduarte
228,INSERT,207,5,132.83,2022-10-12 13:30:43.862242,2022-10-12 13:31:14.862242,kvasconcelos
229,INSERT,208,5,593.54,2024-04-11 15:30:58.782383,2024-04-11 15:34:22.782383,biancanascimento
230,INSERT,209,1,520.04,2023-01-16 11:15:43.016059,2023-01-16 11:15:51.016059,albuquerquerafaela
231,UPDATE,209,1,616.09,2023-01-16 11:15:43.016059,2023-01-21 11:16:49.016059,xlopes
232,INSERT,210,1,85.65,2023-05-26 12:00:22.263389,2023-05-26 12:03:32.263389,jnovais
233,INSERT,211,5,627.29,2025-01-18 17:45:44.870358,2025-01-18 17:46:28.870358,nsilveira
234,INSERT,212,4,643.45,2022-11-02 17:00:42.845545,2022-11-02 17:03:36.845545,luarada-cunha
235,INSERT,213,2,541.0,2025-02-22 09:00:20.514242,2025-02-22 09:04:01.514242,pintoolivia
236,INSERT,214,4,708.7,2025-02-22 11:15:38.367303,2025-02-22 11:19:41.367303,lfarias
237,INSERT,215,2,399.11,2025-02-28 10:00:51.886139,2025-02-28 10:02:48.886139,ana-clara47
238,INSERT,216,1,775.74,2022-11-20 18:00:41.200011,2022-11-20 18:04:28.200011,da-luznoah
239,INSERT,217,5,174.39,2023-10-13 14:45:26.400449,2023-10-13 14:46:49.400449,zoe12
240,INSERT,218,4,602.74,2023-06-13 16:00:39.568451,2023-06-13 16:05:19.568451,danilo10
241,INSERT,219,5,706.39,2022-07-28 10:30:08.241993,2022-07-28 10:33:18.241993,pietro53
242,INSERT,220,4,640.97,2022-09-22 18:15:09.093283,2022-09-22 18:18:14.093283,marcelarocha
243,INSERT,221,1,262.09,2022-11-08 15:30:42.748091,2022-11-08 15:31:55.748091,brendarodrigues
244,INSERT,222,5,55.66,2024-07-02 17:45:36.703777,2024-07-02 17:47:28.703777,ana-luiza67
245,INSERT,223,5,598.86,2024-06-03 16:15:12.295053,2024-06-03 16:17:35.295053,leaosamuel
246,UPDATE,223,5,553.57,2024-06-03 16:15:12.295053,2024-06-04 16:19:21.295053,laraguerra
247,INSERT,224,1,498.04,2025-04-04 09:15:59.265127,2025-04-04 09:18:05.265127,nicole44
248,INSERT,225,5,516.84,2022-12-21 17:00:30.554517,2022-12-21 17:00:32.554517,ugarcia
249,INSERT,226,2,601.31,2023-12-10 11:00:05.493324,2023-12-10 11:02:46.493324,carvalhoisabel
250,INSERT,227,3,685.44,2023-10-26 17:15:39.851266,2023-10-26 17:19:24.851266,jmonteiro
251,INSERT,228,3,354.54,2022-07-16 18:15:31.448701,2022-07-16 18:17:16.448701,pintohenrique
252,INSERT,229,3,151.58,2022-11-18 13:00:15.151448,2022-11-18 13:02:07.151448,qnascimento
253,INSERT,230,3,355.87,2023-06-23 13:00:43.973170,2023-06-23 13:04:48.973170,nathancardoso
254,INSERT,231,1,594.29,2024-05-29 11:45:32.762210,2024-05-29 11:49:39.762210,arthur-gabrielgarcia
255,INSERT,232,3,231.44,2025-04-29 16:00:42.900104,2025-04-29 16:04:23.900104,aalbuquerque
256,INSERT,233,1,431.33,2024-01-18 08:30:13.495498,2024-01-18 08:30:14.495498,jose80
